Width,Performance,Metric,Region,Group
1,0.505813953,Accuracy,Coding,A
3,0.51744186,Accuracy,Coding,A
5,0.546511628,Accuracy,Coding,A
7,0.552325581,Accuracy,Coding,A
9,0.558139535,Accuracy,Coding,A
1,0.551330798,Accuracy,NonCoding,B
3,0.590304183,Accuracy,NonCoding,B
5,0.617870722,Accuracy,NonCoding,B
7,0.62595057,Accuracy,NonCoding,B
9,0.649239544,Accuracy,NonCoding,B
1,0.341085271,F-Measure,Coding,C
3,0.569948187,F-Measure,Coding,C
5,0.580645161,F-Measure,Coding,C
7,0.52173913,F-Measure,Coding,C
9,0.558139535,F-Measure,Coding,C
1,0.470852018,F-Measure,NonCoding,D
3,0.562436548,F-Measure,NonCoding,D
5,0.609708738,F-Measure,NonCoding,D
7,0.629647059,F-Measure,NonCoding,D
9,0.654817587,F-Measure,NonCoding,D
