Sensitivity,Specificity,Accuracy,F.Measure,Kappa,type,width,k
0.570342205323194,0.622623574144487,0.59648288973384,0.585651537335286,0.192965779467681,width.1_k.1,1,1
0.55893536121673,0.665399239543726,0.612167300380228,0.590361445783133,0.224334600760456,width.3_k.1,3,1
0.567490494296578,0.6606463878327,0.614068441064639,0.595214356929212,0.228136882129278,width.3_k.2,3,2
0.569391634980989,0.666349809885932,0.61787072243346,0.598401598401598,0.23574144486692,width.3_k.3,3,3
0.609315589353612,0.666349809885932,0.637832699619772,0.62720156555773,0.275665399239544,width.5_k.1,5,1
0.583650190114068,0.636882129277566,0.610266159695818,0.599609375,0.220532319391635,width.5_k.2,5,2
0.583650190114068,0.635931558935361,0.609790874524715,0.599316739873109,0.21958174904943,width.5_k.3,5,3
0.58745247148289,0.638783269961977,0.613117870722434,0.602926829268293,0.226235741444867,width.5_k.4,5,4
0.596958174904943,0.661596958174905,0.629277566539924,0.616895874263261,0.258555133079848,width.7_k.1,7,1
0.626425855513308,0.64638783269962,0.636406844106464,0.632741238598176,0.272813688212928,width.7_k.2,7,2
0.639733840304182,0.6606463878327,0.650190114068441,0.646493756003842,0.300380228136882,width.7_k.3,7,3
0.628326996197719,0.656844106463878,0.642585551330799,0.637415621986499,0.285171102661597,width.7_k.4,7,4
0.61787072243346,0.664448669201521,0.641159695817491,0.632603406326034,0.282319391634981,width.9_k.1,9,1
0.650190114068441,0.678707224334601,0.664448669201521,0.659594985535198,0.328897338403042,width.9_k.2,9,2
0.664448669201521,0.681558935361217,0.673003802281369,0.670182166826462,0.346007604562738,width.9_k.3,9,3
0.659695817490494,0.678707224334601,0.669201520912547,0.666026871401152,0.338403041825095,width.9_k.4,9,4
